#offset position in file, kind, identifier, suggested
 /usr/local/go/src/runtime/netpoll.go:#9847,func,netpolldeadlineimpl,netPollDeadlineimpl
 /usr/local/go/src/runtime/netpoll.go:#10823,func,netpollDeadline,netPollDeadline
 /usr/local/go/src/runtime/netpoll.go:#10934,func,netpollReadDeadline,netPollReadDeadline
 /usr/local/go/src/runtime/netpoll.go:#11050,func,netpollWriteDeadline,netPollWriteDeadline
# /usr/local/go/src/runtime/netpoll.go:#11182,func,alloc,alloc
 /usr/local/go/src/runtime/netpoll_epoll.go:#216,func,epollcreate,ePollCreate
 /usr/local/go/src/runtime/netpoll_epoll.go:#251,func,epollcreate1,ePollCreate1
 /usr/local/go/src/runtime/netpoll_epoll.go:#303,func,epollctl,ePollCtl
 /usr/local/go/src/runtime/netpoll_epoll.go:#374,func,epollwait,ePollWait
 /usr/local/go/src/runtime/netpoll_epoll.go:#443,func,closeonexec,closeOnExec
 /usr/local/go/src/runtime/netpoll_epoll.go:#549,func,netpollinit,netPollInit
 /usr/local/go/src/runtime/netpoll_epoll.go:#831,func,netpollopen,netPollOpen
 /usr/local/go/src/runtime/netpoll_epoll.go:#1065,func,netpollclose,netPollClose
 /usr/local/go/src/runtime/netpoll_epoll.go:#1181,func,netpollarm,netPollArm
 /usr/local/go/src/runtime/netpoll_epoll.go:#1335,func,netpoll,netPoll
# /usr/local/go/src/runtime/os_linux.go:#200,func,futex,futex
 /usr/local/go/src/runtime/os_linux.go:#299,func,clone,clOnE
 /usr/local/go/src/runtime/os_linux.go:#361,func,rt_sigaction,rtSigactiOn
 /usr/local/go/src/runtime/os_linux.go:#437,func,sigaltstack,sigaltStack
 /usr/local/go/src/runtime/os_linux.go:#479,func,setitimer,setITimer
 /usr/local/go/src/runtime/os_linux.go:#531,func,rtsigprocmask,rtsigProcessMask
 /usr/local/go/src/runtime/os_linux.go:#598,func,getrlimit,getRlimit
# /usr/local/go/src/runtime/os_linux.go:#653,func,raise,raise
 /usr/local/go/src/runtime/os_linux.go:#675,func,sched_getaffinity,schedGetAffInitY
 /usr/local/go/src/runtime/panic.go:#258,func,panicindex,panicIndex
 /usr/local/go/src/runtime/panic.go:#366,func,panicslice,panicSlice
 /usr/local/go/src/runtime/panic.go:#472,func,panicdivide,panicDivide
 /usr/local/go/src/runtime/panic.go:#576,func,panicoverflow,panicOverflow
 /usr/local/go/src/runtime/panic.go:#685,func,panicfloat,panicFloat
 /usr/local/go/src/runtime/panic.go:#818,func,panicmem,panicMem
 /usr/local/go/src/runtime/panic.go:#859,func,throwreturn,throwReturn
 /usr/local/go/src/runtime/panic.go:#953,func,throwinit,throwInit
 /usr/local/go/src/runtime/panic.go:#1178,func,deferproc,deferProcess
 /usr/local/go/src/runtime/panic.go:#2787,func,deferclass,deferClass
 /usr/local/go/src/runtime/panic.go:#2965,func,totaldefersize,toTalDefersIze
 /usr/local/go/src/runtime/panic.go:#3205,func,testdefersizes,teStdEferSizeS
 /usr/local/go/src/runtime/panic.go:#3791,func,deferArgs,deferArgS
# /usr/local/go/src/runtime/panic.go:#3934,func,init,init
 /usr/local/go/src/runtime/panic.go:#4162,func,newdefer,newDefer
 /usr/local/go/src/runtime/panic.go:#4712,func,freedefer,freeDefer
 /usr/local/go/src/runtime/panic.go:#5109,func,freedeferpanic,freeDeferPanic
 /usr/local/go/src/runtime/panic.go:#5236,func,freedeferfn,freeDeferFn
 /usr/local/go/src/runtime/panic.go:#6061,func,deferreturn,deferReturn
 /usr/local/go/src/runtime/panic.go:#7087,func,Goexit,GoExit
 /usr/local/go/src/runtime/panic.go:#7788,func,canpanic,canPanic
 /usr/local/go/src/runtime/panic.go:#7871,func,printpanics,printPanicS
 /usr/local/go/src/runtime/panic.go:#8113,func,gopanic,goPanic
 /usr/local/go/src/runtime/panic.go:#11070,func,getargp,getArgP
 /usr/local/go/src/runtime/panic.go:#11755,func,gorecover,goRecover
 /usr/local/go/src/runtime/panic.go:#12315,func,startpanic,startPanic
 /usr/local/go/src/runtime/panic.go:#12379,func,dopanic,doPanic
# /usr/local/go/src/runtime/panic.go:#12671,func,throw,throw
 /usr/local/go/src/runtime/panic.go:#12879,func,gothrow,goThrow
# /usr/local/go/src/runtime/print1.go:#330,func,bytes,bytes
# /usr/local/go/src/runtime/print1.go:#735,func,printf,printf
 /usr/local/go/src/runtime/print1.go:#1040,func,snprintf,snPrintf
 /usr/local/go/src/runtime/print1.go:#1459,func,gwrite,gWrite
 /usr/local/go/src/runtime/print1.go:#1740,func,prints,printS
 /usr/local/go/src/runtime/print1.go:#1880,func,printsp,printSp
 /usr/local/go/src/runtime/print1.go:#1912,func,printnl,printNl
# /usr/local/go/src/runtime/print1.go:#2045,func,vprintf,vprintf
 /usr/local/go/src/runtime/print1.go:#3895,func,printpc,printPc
 /usr/local/go/src/runtime/print1.go:#3962,func,printbool,printBool
 /usr/local/go/src/runtime/print1.go:#4044,func,printbyte,printByte
 /usr/local/go/src/runtime/print1.go:#4115,func,printfloat,printfLoat
 /usr/local/go/src/runtime/print1.go:#5020,func,printcomplex,printComplex
 /usr/local/go/src/runtime/print1.go:#5093,func,printuint,printUint
 /usr/local/go/src/runtime/print1.go:#5265,func,printint,printInt
 /usr/local/go/src/runtime/print1.go:#5352,func,printhex,printHex
 /usr/local/go/src/runtime/print1.go:#5586,func,printpointer,printPointEr
 /usr/local/go/src/runtime/print1.go:#5657,func,printstring,printString
 /usr/local/go/src/runtime/print1.go:#5790,func,printslice,printSlice
 /usr/local/go/src/runtime/print1.go:#5935,func,printeface,printEface
 /usr/local/go/src/runtime/print1.go:#6048,func,printiface,printIface
 /usr/local/go/src/runtime/proc.go:#199,func,newsysmon,newSysMon
 /usr/local/go/src/runtime/proc.go:#217,func,runtime_init,runtimeInit
 /usr/local/go/src/runtime/proc.go:#237,func,main_init,mainInit
 /usr/local/go/src/runtime/proc.go:#254,func,main_main,mainMain
